iter	Passed	Remaining
0	14	14823
1	24	12355
2	31	10385
3	47	11854
4	59	11934
5	72	11999
6	79	11304
7	87	10832
8	99	10909
9	105	10463
10	118	10652
11	133	10952
12	143	10860
13	149	10545
14	162	10691
15	176	10862
16	183	10606
17	202	11047
18	211	10942
19	219	10738
20	231	10804
21	239	10660
22	252	10719
23	261	10641
24	267	10424
25	304	11423
26	318	11479
27	334	11621
28	346	11601
29	363	11745
30	372	11647
31	387	11723
32	425	12453
33	447	12725
34	462	12755
35	471	12638
36	480	12494
37	497	12603
38	509	12563
39	516	12397
40	565	13232
41	577	13183
42	589	13121
43	596	12967
44	609	12937
45	620	12871
46	627	12719
47	640	12702
48	655	12719
49	663	12604
50	670	12471
51	694	12668
52	784	14008
53	803	14078
54	814	14002
55	821	13842
56	831	13761
57	840	13644
58	849	13548
59	856	13414
60	863	13296
61	875	13252
62	883	13133
63	891	13038
64	920	13235
65	957	13548
66	995	13867
67	1017	13939
68	1032	13935
69	1050	13953
70	1056	13825
71	1063	13712
72	1073	13631
73	1097	13727
74	1117	13777
75	1124	13672
76	1141	13684
77	1171	13847
78	1201	14008
79	1218	14015
80	1234	14010
81	1241	13901
82	1254	13865
83	1265	13796
84	1272	13697
85	1286	13677
86	1300	13646
87	1346	13951
88	1387	14201
89	1398	14136
90	1410	14084
91	1423	14050
92	1430	13953
93	1457	14051
94	1472	14031
95	1489	14028
96	1503	13994
97	1506	13868
98	1538	13998
99	1553	13984
100	1602	14259
101	1614	14212
102	1628	14183
103	1635	14090
104	1699	14482
105	1715	14468
106	1728	14425
107	1735	14337
108	1763	14418
109	1769	14318
110	1809	14489
111	1819	14422
112	1830	14367
113	1887	14666
114	1926	14823
115	1966	14989
116	1975	14911
117	1989	14866
118	2020	14956
119	2031	14896
120	2040	14820
121	2052	14772
122	2073	14785
123	2099	14834
124	2115	14809
125	2147	14895
126	2154	14808
127	2168	14775
128	2175	14687
129	2184	14616
130	2230	14794
131	2250	14795
132	2262	14748
133	2272	14685
134	2283	14631
135	2299	14606
136	2309	14545
137	2316	14472
